,ticker,url
114,GOOGL,https://fortune.com/company/alphabet/fortune500/
115,ABC,https://fortune.com/company/amerisourcebergen/fortune500/
116,MCK,https://fortune.com/company/mckesson/fortune500/
117,UNH,https://fortune.com/company/unitedhealth-group/fortune500/
118,BRKA,https://fortune.com/company/berkshire-hathaway/fortune500/
119,AAPL,https://fortune.com/company/apple/fortune500/
120,CVS,https://fortune.com/company/cvs-health/fortune500/
121,AMZN,https://fortune.com/company/amazon-com/fortune500/
122,HSC,https://fortune.com/company/harsco/fortune500/
123,SCL,https://fortune.com/company/stepan/fortune500/
124,CLW,https://fortune.com/company/clearwater-paper/fortune500/
125,BMRN,https://fortune.com/company/biomarin-pharmaceutical/fortune500/
126,SGRY,https://fortune.com/company/surgery-partners/fortune500/
127,ENTG,https://fortune.com/company/entegris/fortune500/
128,SNBR,https://fortune.com/company/sleep-number/fortune500/
129,SR,https://fortune.com/company/spire/fortune500/
130,BWXT,https://fortune.com/company/bwx-technologies/fortune500/
131,AMED,https://fortune.com/company/amedisys/fortune500/
132,CHE,https://fortune.com/company/chemed/fortune500/
133,AJRD,https://fortune.com/company/aerojet-rocketdyne-holdings/fortune500/
134,AMRX,https://fortune.com/company/amneal-pharmaceuticals/fortune500/
135,COLD,https://fortune.com/company/americold-realty-trust/fortune500/
136,KFY,https://fortune.com/company/korn-ferry/fortune500/
137,ZNGA,https://fortune.com/company/zynga/fortune500/
138,BGS,https://fortune.com/company/bg-foods/fortune500/
139,FIVE,https://fortune.com/company/five-below/fortune500/
140,FCNCA,https://fortune.com/company/first-citizens-bancshares/fortune500/
141,TTEC,https://fortune.com/company/ttec-holdings/fortune500/
142,ACA,https://fortune.com/company/arcosa/fortune500/
143,SSP,https://fortune.com/company/ew-scripps/fortune500/
144,DBX,https://fortune.com/company/dropbox/fortune500/
145,CXW,https://fortune.com/company/corecivic/fortune500/
146,CVA,https://fortune.com/company/covanta-holding/fortune500/
147,CHX,https://fortune.com/company/championx/fortune500/
148,VHI,https://fortune.com/company/valhi/fortune500/
149,MCFE,https://fortune.com/company/mcafee/fortune500/
150,DASH,https://fortune.com/company/doordash/fortune500/
151,WES,https://fortune.com/company/western-midstream-partners/fortune500/
152,JOAN,https://fortune.com/company/joann/fortune500/
153,RXT,https://fortune.com/company/rackspace-technology/fortune500/
154,VNT,https://fortune.com/company/vontier/fortune500/
155,OPEN,https://fortune.com/company/opendoor-technologies/fortune500/
156,OSTK,https://fortune.com/company/overstock-com/fortune500/
157,WISH,https://fortune.com/company/contextlogic/fortune500/
158,HI,https://fortune.com/company/hillenbrand/fortune500/
159,IIVI,https://fortune.com/company/ii-vi/fortune500/
160,PLTK,https://fortune.com/company/playtika-holding/fortune500/
161,WGO,https://fortune.com/company/winnebago-industries/fortune500/
162,MKSI,https://fortune.com/company/mks-instruments/fortune500/
163,ARE,https://fortune.com/company/alexandria-real-estate-equities/fortune500/
164,HTH,https://fortune.com/company/hilltop-holdings/fortune500/
165,STC,https://fortune.com/company/stewart-information-services/fortune500/
166,NVST,https://fortune.com/company/envista-holdings/fortune500/
167,SGEN,https://fortune.com/company/seagen/fortune500/
168,FRG,https://fortune.com/company/franchise-group/fortune500/
169,WST,https://fortune.com/company/west-pharmaceutical-services/fortune500/
170,FBC,https://fortune.com/company/flagstar-bancorp/fortune500/
171,OTIS,https://fortune.com/company/otis-worldwide/fortune500/
172,ASO,https://fortune.com/company/academy-sports-and-outdoors/fortune500/
173,ARNC,https://fortune.com/company/arconic-corp/fortune500/
174,CLF,https://fortune.com/company/cleveland-cliffs/fortune500/
175,UWMC,https://fortune.com/company/uwm-holdings/fortune500/
176,WOOF,https://fortune.com/company/petco-health-and-wellness/fortune500/
177,PFSI,https://fortune.com/company/pennymac-financial-services/fortune500/
178,LDI,https://fortune.com/company/loandepot/fortune500/
179,CVET,https://fortune.com/company/covetrus/fortune500/
180,COMP,https://fortune.com/company/compass/fortune500/
181,APG,https://fortune.com/company/api-group/fortune500/
182,EDR,https://fortune.com/company/endeavor-group-holdings/fortune500/
183,ARKO,https://fortune.com/company/arko/fortune500/
184,GCI,https://fortune.com/company/gannett/fortune500/
185,ADV,https://fortune.com/company/advantage-solutions/fortune500/
186,IAC,https://fortune.com/company/iac-interactivecorp/fortune500/
187,SATS,https://fortune.com/company/echostar/fortune500/
188,KMT,https://fortune.com/company/kennametal/fortune500/
189,GES,https://fortune.com/company/guess/fortune500/
190,LYV,https://fortune.com/company/live-nation-entertainment/fortune500/
191,CCO,https://fortune.com/company/clear-channel-outdoor-holdings/fortune500/
192,MTN,https://fortune.com/company/vail-resorts/fortune500/
193,HNI,https://fortune.com/company/hni/fortune500/
194,NJR,https://fortune.com/company/new-jersey-resources/fortune500/
195,EPC,https://fortune.com/company/edgewell-personal-care/fortune500/
196,DXCM,https://fortune.com/company/dexcom/fortune500/
197,GPRE,https://fortune.com/company/green-plains/fortune500/
198,UVV,https://fortune.com/company/universal/fortune500/
199,NMRK,https://fortune.com/company/newmark-group/fortune500/
200,REV,https://fortune.com/company/revlon/fortune500/
201,AL,https://fortune.com/company/air-lease/fortune500/
202,NEU,https://fortune.com/company/newmarket/fortune500/
203,TRN,https://fortune.com/company/trinity-industries/fortune500/
204,BRKR,https://fortune.com/company/bruker/fortune500/
205,CAKE,https://fortune.com/company/cheesecake-factory/fortune500/
206,RXN,https://fortune.com/company/rexnord/fortune500/
207,MOD,https://fortune.com/company/modine-manufacturing/fortune500/
208,BDC,https://fortune.com/company/belden/fortune500/
209,MUR,https://fortune.com/company/murphy-oil/fortune500/
210,RRC,https://fortune.com/company/range-resources/fortune500/
211,WYNN,https://fortune.com/company/wynn-resorts/fortune500/
212,HAIN,https://fortune.com/company/hain-celestial-group/fortune500/
213,SBAC,https://fortune.com/company/sba-communications/fortune500/
214,ALSN,https://fortune.com/company/allison-transmission-holdings/fortune500/
215,H,https://fortune.com/company/hyatt-hotels/fortune500/
216,LHCG,https://fortune.com/company/lhc-group/fortune500/
217,BGCP,https://fortune.com/company/bgc-partners/fortune500/
218,GIII,https://fortune.com/company/g-iii-apparel-group/fortune500/
219,BHE,https://fortune.com/company/benchmark-electronics/fortune500/
220,AMG,https://fortune.com/company/affiliated-managers-group/fortune500/
221,REGI,https://fortune.com/company/renewable-energy-group/fortune500/
222,DECK,https://fortune.com/company/deckers-outdoor/fortune500/
223,SKYW,https://fortune.com/company/skywest/fortune500/
224,BZH,https://fortune.com/company/beazer-homes-usa/fortune500/
225,OGE,https://fortune.com/company/oge-energy/fortune500/
226,NDSN,https://fortune.com/company/nordson/fortune500/
227,CAL,https://fortune.com/company/caleres/fortune500/
228,BOKF,https://fortune.com/company/bok-financial/fortune500/
229,AIR,https://fortune.com/company/aar/fortune500/
230,APO,https://fortune.com/company/apollo-global-management/fortune500/
231,CRS,https://fortune.com/company/carpenter-technology/fortune500/
232,BYD,https://fortune.com/company/boyd-gaming/fortune500/
233,UIS,https://fortune.com/company/unisys/fortune500/
234,ITRI,https://fortune.com/company/itron/fortune500/
235,KEX,https://fortune.com/company/kirby/fortune500/
236,ROL,https://fortune.com/company/rollins/fortune500/
237,TNL,https://fortune.com/company/wyndham-worldwide/fortune500/
238,TMX,https://fortune.com/company/servicemaster-global-holdings/fortune500/
239,POR,https://fortune.com/company/portland-general-electric/fortune500/
240,TTMI,https://fortune.com/company/ttm-technologies/fortune500/
241,MYRG,https://fortune.com/company/myr-group/fortune500/
242,DBI,https://fortune.com/company/dsw/fortune500/
243,SPLK,https://fortune.com/company/splunk/fortune500/
244,PRI,https://fortune.com/company/primerica/fortune500/
245,CPRT,https://fortune.com/company/copart/fortune500/
246,CDK,https://fortune.com/company/cdk-global/fortune500/
247,MXIM,https://fortune.com/company/maxim-integrated-products/fortune500/
248,KAR,https://fortune.com/company/kar-auction-services/fortune500/
249,REVG,https://fortune.com/company/rev-group/fortune500/
250,CLMT,https://fortune.com/company/calumet-specialty-products/fortune500/
251,CEQP,https://fortune.com/company/crestwood-equity-partners/fortune500/
252,ANET,https://fortune.com/company/arista-networks/fortune500/
